DATETIME,TIME,LON,LAT,DEP,V
"31-DEC-2022",44559.5,77.5,5.75,5,0.411312  
"31-DEC-2022",44559.5,78,5.75,5,0.360443  
"31-DEC-2022",44559.5,78.5,5.75,5,0.247729  
"31-DEC-2022",44559.5,79,5.75,5,0.0990947  
"31-DEC-2022",44559.5,79.5,5.75,5,-0.0544938  
"31-DEC-2022",44559.5,80,5.75,5,0.0209561  
"31-DEC-2022",44559.5,80.5,5.75,5,0.00459353  
"31-DEC-2022",44559.5,81,5.75,5,0.0415252  
"31-DEC-2022",44559.5,81.5,5.75,5,0.140894  
"31-DEC-2022",44559.5,82,5.75,5,0.254613  
"31-DEC-2022",44559.5,82.5,5.75,5,0.266897  
"31-DEC-2022",44559.5,83,5.75,5,0.1612  
"31-DEC-2022",44559.5,83.5,5.75,5,0.1342  
"31-DEC-2022",44559.5,84,5.75,5,0.186934  
"31-DEC-2022",44559.5,84.5,5.75,5,0.286626  
"31-DEC-2022",44559.5,85,5.75,5,0.305204  
"31-DEC-2022",44559.5,85.5,5.75,5,0.224331  
"31-DEC-2022",44559.5,86,5.75,5,0.0932275  
"31-DEC-2022",44559.5,86.5,5.75,5,0.00307721  
"31-DEC-2022",44559.5,87,5.75,5,-0.0528785  
"31-DEC-2022",44559.5,87.5,5.75,5,-0.149191  
"31-DEC-2022",44559.5,88,5.75,5,-0.136163  
"31-DEC-2022",44559.5,88.5,5.75,5,-0.0173591  
"31-DEC-2022",44559.5,89,5.75,5,0.131183  
"31-DEC-2022",44559.5,68,6,5,0.211866  
"31-DEC-2022",44559.5,68.5,6,5,0.251093  
"31-DEC-2022",44559.5,69,6,5,0.281945  
"31-DEC-2022",44559.5,69.5,6,5,0.31476  
"31-DEC-2022",44559.5,70,6,5,0.338549  
"31-DEC-2022",44559.5,70.5,6,5,0.280473  
"31-DEC-2022",44559.5,71,6,5,0.141363  
"31-DEC-2022",44559.5,71.5,6,5,0.0435147  
"31-DEC-2022",44559.5,72,6,5,0.00468744  
