DATETIME,TIME,LON,LAT,DEP,EASTWARD_WIND
"31-DEC-2022",1.07819E+06,86.625,4.375,10,-2.33  
"31-DEC-2022",1.07819E+06,86.875,4.375,10,-2.7  
"31-DEC-2022",1.07819E+06,87.125,4.375,10,-2.89  
"31-DEC-2022",1.07819E+06,87.375,4.375,10,-2.99  
"31-DEC-2022",1.07819E+06,87.625,4.375,10,-3.12  
"31-DEC-2022",1.07819E+06,87.875,4.375,10,-2.97  
"31-DEC-2022",1.07819E+06,88.125,4.375,10,-2.99  
"31-DEC-2022",1.07819E+06,88.375,4.375,10,-2.87  
"31-DEC-2022",1.07819E+06,88.625,4.375,10,-2.52  
"31-DEC-2022",1.07819E+06,88.875,4.375,10,-2.25  
"31-DEC-2022",1.07819E+06,68.125,4.625,10,-5.34  
"31-DEC-2022",1.07819E+06,68.375,4.625,10,-5.57  
"31-DEC-2022",1.07819E+06,68.625,4.625,10,-5.11  
"31-DEC-2022",1.07819E+06,68.875,4.625,10,-5.12  
"31-DEC-2022",1.07819E+06,69.125,4.625,10,-5.64  
"31-DEC-2022",1.07819E+06,69.375,4.625,10,-5.6  
"31-DEC-2022",1.07819E+06,69.625,4.625,10,-5.52  
"31-DEC-2022",1.07819E+06,69.875,4.625,10,-4.7  
"31-DEC-2022",1.07819E+06,70.125,4.625,10,-5.56  
"31-DEC-2022",1.07819E+06,70.375,4.625,10,-7.46  
"31-DEC-2022",1.07819E+06,70.625,4.625,10,-8.47  
"31-DEC-2022",1.07819E+06,70.875,4.625,10,-8.75  
"31-DEC-2022",1.07819E+06,71.125,4.625,10,-8.41  
"31-DEC-2022",1.07819E+06,71.375,4.625,10,-7.55  
"31-DEC-2022",1.07819E+06,71.625,4.625,10,-6.98  
"31-DEC-2022",1.07819E+06,71.875,4.625,10,-6.06  
"31-DEC-2022",1.07819E+06,72.125,4.625,10,-5.72  
"31-DEC-2022",1.07819E+06,72.375,4.625,10,-5.99  
"31-DEC-2022",1.07819E+06,72.625,4.625,10,-6.02  
"31-DEC-2022",1.07819E+06,72.875,4.625,10,-6.02  
