DATETIME,TIME,LON,LAT,E_WIND,N_WIND,Z_CURR,M_CURR
31-DEC-2022,44559.5,74.5,5.0,-5.895,-2.875,-0.261879,-0.0802329
31-DEC-2022,44559.5,75.0,5.0,-5.43,-3.49,-0.188878,-0.161878
31-DEC-2022,44559.5,75.5,5.0,-5.035,-4.08,-0.152423,-0.0897183
31-DEC-2022,44559.5,76.0,5.0,-4.93,-4.58,-0.14649,0.0530135
31-DEC-2022,44559.5,76.5,5.0,-4.99,-4.77,-0.162722,0.250726
31-DEC-2022,44559.5,77.0,5.0,-4.445,-4.92,-0.19481,0.482034
31-DEC-2022,44559.5,77.5,5.0,-3.41,-4.675,-0.218263,0.458455
31-DEC-2022,44559.5,78.0,5.0,-3.035,-5.135,-0.255584,0.332576
31-DEC-2022,44559.5,78.5,5.0,-2.69,-4.865,-0.238338,0.22557
31-DEC-2022,44559.5,79.0,5.0,-2.555,-3.035,-0.212851,0.0970878
31-DEC-2022,44559.5,79.5,5.0,-3.55,-2.095,-0.205124,-0.0564035
31-DEC-2022,44559.5,80.0,5.0,-4.74,-4.0,-0.236389,-0.124236
31-DEC-2022,44559.5,80.5,5.0,-5.105,-5.445,-0.305611,-0.047757
31-DEC-2022,44559.5,81.0,5.0,-4.205,-6.42,-0.401284,0.05181
31-DEC-2022,44559.5,81.5,5.0,-1.59,-6.77,-0.430444,0.152723
31-DEC-2022,44559.5,82.0,5.0,-0.91,-6.42501,-0.418722,0.265385
31-DEC-2022,44559.5,82.5,5.0,-0.735,-6.55,-0.390989,0.209184
31-DEC-2022,44559.5,83.0,5.0,-1.94,-7.105,-0.318375,0.209732
31-DEC-2022,44559.5,83.5,5.0,-2.435,-7.225,-0.26857,0.203072
31-DEC-2022,44559.5,84.0,5.0,-2.355,-6.1009,-0.242407,0.184385
31-DEC-2022,44559.5,84.5,5.0,-2.37,-5.54,-0.297087,0.169993
31-DEC-2022,44559.5,85.0,5.0,-2.725,-5.465,-0.366954,0.172114
31-DEC-2022,44559.5,85.5,5.0,-3.065,-5.125,-0.410277,0.157978
31-DEC-2022,44559.5,86.0,5.0,-2.865,-5.54,-0.359184,0.0929417
31-DEC-2022,44559.5,86.5,5.0,-2.965,-5.88,-0.262273,0.011731
31-DEC-2022,44559.5,87.0,5.0,-2.29,-6.04,-0.22521,0.000833167
31-DEC-2022,44559.5,87.5,5.0,-2.775004,-5.84,-0.221304,0.0153779
31-DEC-2022,44559.5,88.0,5.0,-2.77,-5.345,-0.159119,0.0451815
31-DEC-2022,44559.5,88.5,5.0,-2.595,-5.075,-0.100906,0.11525
31-DEC-2022,44559.5,89.0,5.0,-2.93,-4.49,-0.0532335,0.184361
31-DEC-2022,44559.5,68.0,5.25,-5.3,-3.09,-0.225997,0.240823
31-DEC-2022,44559.5,68.5,5.25,-5.055,-3.89,-0.237464,0.262448
31-DEC-2022,44559.5,69.0,5.25,-3.925,-5.46,-0.246624,0.236561
31-DEC-2022,44559.5,69.5,5.25,-5.64001,-1.20998,-0.302224,0.240948
31-DEC-2022,44559.5,70.0,5.25,-5.31,-0.605,-0.372091,0.209221
31-DEC-2022,44559.5,70.5,5.25,-5.38,-1.515,-0.42415,0.145965
31-DEC-2022,44559.5,71.0,5.25,-6.29,-2.215,-0.474274,0.0801507
31-DEC-2022,44559.5,71.5,5.25,-6.965,-2.725,-0.471513,0.0544613
31-DEC-2022,44559.5,72.0,5.25,-5.765,-2.315004,-0.41961,0.0599175
31-DEC-2022,44559.5,72.5,5.25,-6.3,-2.11,-0.345308,0.0780201
31-DEC-2022,44559.5,73.0,5.25,-6.515,-2.45,-0.285016,0.109626
31-DEC-2022,44559.5,73.5,5.25,-6.365,-2.78,-0.235775,0.0870174
31-DEC-2022,44559.5,74.0,5.25,-6.055,-3.17,-0.23607,0.0504451
31-DEC-2022,44559.5,74.5,5.25,-5.915,-3.11,-0.244337,-0.0699947
31-DEC-2022,44559.5,75.0,5.25,-5.63,-3.115,-0.178691,-0.137334
31-DEC-2022,44559.5,75.5,5.25,-5.27,-3.6,-0.152944,-0.0791779
31-DEC-2022,44559.5,76.0,5.25,-5.08,-4.285,-0.152933,0.0527267
31-DEC-2022,44559.5,76.5,5.25,-5.115,-4.6,-0.157911,0.21977
31-DEC-2022,44559.5,77.0,5.25,-4.35,-4.97001,-0.143887,0.453226
31-DEC-2022,44559.5,77.5,5.25,-3.645,-4.73,-0.133676,0.502535
31-DEC-2022,44559.5,78.0,5.25,-3.87,-5.2440,-0.154181,0.353846
31-DEC-2022,44559.5,78.5,5.25,-3.415,-5.51501,-0.128644,0.228715
31-DEC-2022,44559.5,79.0,5.25,-2.58,-3.3603,-0.107695,0.100162
31-DEC-2022,44559.5,79.5,5.25,-3.09,-2.055,-0.0688773,-0.037155
31-DEC-2022,44559.5,80.0,5.25,-3.275,-4.26501,-0.113528,-0.0963843
31-DEC-2022,44559.5,80.5,5.25,-4.93,-6.05,-0.208492,-0.00381642
31-DEC-2022,44559.5,81.0,5.25,-5.76501,-7.18,-0.302258,0.112438
31-DEC-2022,44559.5,81.5,5.25,-2.16,-7.285,-0.349684,0.197204
31-DEC-2022,44559.5,82.0,5.25,-1.01,-6.365,-0.352688,0.259444
31-DEC-2022,44559.5,82.5,5.25,-0.675,-6.375,-0.35274,0.216377
