DATETIME,TIME,LON,LAT,ZON,MER
31-DEC-2022,44559.5,88.0,5.25,-0.0496112,0.00343804
31-DEC-2022,44559.5,88.5,5.25,0.0114888,0.0955531
31-DEC-2022,44559.5,89.0,5.25,0.0319645,0.193498
31-DEC-2022,44559.5,68.0,5.5,-0.165986,0.231178
31-DEC-2022,44559.5,68.5,5.5,-0.195284,0.250008
31-DEC-2022,44559.5,69.0,5.5,-0.227231,0.25942
31-DEC-2022,44559.5,69.5,5.5,-0.26481,0.265269
31-DEC-2022,44559.5,70.0,5.5,-0.342185,0.260572
31-DEC-2022,44559.5,70.5,5.5,-0.405634,0.194213
31-DEC-2022,44559.5,71.0,5.5,-0.442037,0.11662
31-DEC-2022,44559.5,71.5,5.5,-0.43012,0.0599517
31-DEC-2022,44559.5,72.0,5.5,-0.35807,0.0690675
31-DEC-2022,44559.5,72.5,5.5,-0.302382,0.0855569
31-DEC-2022,44559.5,73.0,5.5,-0.254221,0.106857
31-DEC-2022,44559.5,73.5,5.5,-0.229297,0.0944331
31-DEC-2022,44559.5,74.0,5.5,-0.230075,0.0565724
31-DEC-2022,44559.5,74.5,5.5,-0.24957,-0.0484111
31-DEC-2022,44559.5,75.0,5.5,-0.205402,-0.123287
31-DEC-2022,44559.5,75.5,5.5,-0.180038,-0.0502513
31-DEC-2022,44559.5,76.0,5.5,-0.193987,0.0334139
31-DEC-2022,44559.5,76.5,5.5,-0.174316,0.176251
31-DEC-2022,44559.5,77.0,5.5,-0.104446,0.369154
31-DEC-2022,44559.5,77.5,5.5,-0.0497218,0.50209
31-DEC-2022,44559.5,78.0,5.5,-0.03038,0.378035
31-DEC-2022,44559.5,78.5,5.5,-0.0245355,0.238417
31-DEC-2022,44559.5,79.0,5.5,0.0291309,0.0860696
31-DEC-2022,44559.5,79.5,5.5,0.0425459,-0.0204457
31-DEC-2022,44559.5,80.0,5.5,-0.00429934,-0.0739963
31-DEC-2022,44559.5,80.5,5.5,-0.184179,0.0141649
31-DEC-2022,44559.5,81.0,5.5,-0.241165,0.105923
31-DEC-2022,44559.5,81.5,5.5,-0.255097,0.195113
31-DEC-2022,44559.5,82.0,5.5,-0.272681,0.236082
31-DEC-2022,44559.5,82.5,5.5,-0.298898,0.242385
31-DEC-2022,44559.5,83.0,5.5,-0.287694,0.190076
31-DEC-2022,44559.5,83.5,5.5,-0.229758,0.179343
31-DEC-2022,44559.5,84.0,5.5,-0.203857,0.228165
31-DEC-2022,44559.5,84.5,5.5,-0.267667,0.305573
31-DEC-2022,44559.5,85.0,5.5,-0.341645,0.297149
31-DEC-2022,44559.5,85.5,5.5,-0.324595,0.247377
31-DEC-2022,44559.5,86.0,5.5,-0.274587,0.110372
31-DEC-2022,44559.5,86.5,5.5,-0.258614,0.00795566
31-DEC-2022,44559.5,87.0,5.5,-0.200981,-0.00990304
31-DEC-2022,44559.5,87.5,5.5,-0.0737454,-0.0578065
31-DEC-2022,44559.5,88.0,5.5,0.0686795,-0.0338769
31-DEC-2022,44559.5,88.5,5.5,0.128316,0.0774616
31-DEC-2022,44559.5,89.0,5.5,0.126896,0.189014
31-DEC-2022,44559.5,68.0,5.75,-0.0974818,0.225533
31-DEC-2022,44559.5,68.5,5.75,-0.132648,0.254159
31-DEC-2022,44559.5,69.0,5.75,-0.178624,0.273414
31-DEC-2022,44559.5,69.5,5.75,-0.224012,0.297663
31-DEC-2022,44559.5,70.0,5.75,-0.278169,0.297021
31-DEC-2022,44559.5,70.5,5.75,-0.335202,0.243607
31-DEC-2022,44559.5,71.0,5.75,-0.387185,0.14461
31-DEC-2022,44559.5,71.5,5.75,-0.3902,0.0555609
31-DEC-2022,44559.5,72.0,5.75,-0.331173,0.0470368
31-DEC-2022,44559.5,72.5,5.75,-0.277116,0.0666066
31-DEC-2022,44559.5,73.0,5.75,-0.248846,0.0920826
